time_minutes,timestamp_ms,timestamp_local,station_name,kind
130.245733,1720098614744,2024-07-04T09:10:14.744-04:00,de Maisonneuve / Aylmer (ouest),return
130.439450,1720098626367,2024-07-04T09:10:26.367-04:00,de Maisonneuve / Aylmer (ouest),return
132.039083,1720098722345,2024-07-04T09:12:02.345-04:00,Prince-Arthur / St-Urbain,rental
132.104067,1720098726244,2024-07-04T09:12:06.244-04:00,Prince-Arthur / St-Urbain,rental
132.209517,1720098732571,2024-07-04T09:12:12.571-04:00,de Maisonneuve / Aylmer (ouest),return
132.329500,1720098739770,2024-07-04T09:12:19.770-04:00,de Maisonneuve / Aylmer (ouest),rental
132.655017,1720098759301,2024-07-04T09:12:39.301-04:00,Berri / Cherrier,rental
133.066750,1720098784005,2024-07-04T09:13:04.005-04:00,de Maisonneuve / Aylmer (ouest),return
133.319583,1720098799175,2024-07-04T09:13:19.175-04:00,Berri / Cherrier,rental
133.377800,1720098802668,2024-07-04T09:13:22.668-04:00,Berri / Cherrier,return
133.689517,1720098821371,2024-07-04T09:13:41.371-04:00,Berri / Cherrier,rental
133.908233,1720098834494,2024-07-04T09:13:54.494-04:00,Berri / Cherrier,rental
134.311483,1720098858689,2024-07-04T09:14:18.689-04:00,Berri / Cherrier,rental
135.031217,1720098901873,2024-07-04T09:15:01.873-04:00,Berri / Cherrier,return
135.828117,1720098949687,2024-07-04T09:15:49.687-04:00,de Maisonneuve / Aylmer (ouest),return
136.453850,1720098987231,2024-07-04T09:16:27.231-04:00,de Maisonneuve / Aylmer (ouest),return
136.606517,1720098996391,2024-07-04T09:16:36.391-04:00,Berri / Cherrier,rental
137.374850,1720099042491,2024-07-04T09:17:22.491-04:00,de Maisonneuve / Aylmer (ouest),return
137.661733,1720099059704,2024-07-04T09:17:39.704-04:00,de Maisonneuve / Aylmer (ouest),return
138.186867,1720099091212,2024-07-04T09:18:11.212-04:00,Berri / Cherrier,return
139.044883,1720099142693,2024-07-04T09:19:02.693-04:00,Berri / Cherrier,rental
139.325250,1720099159515,2024-07-04T09:19:19.515-04:00,de Maisonneuve / Aylmer (ouest),return
139.491833,1720099169510,2024-07-04T09:19:29.510-04:00,de Maisonneuve / Aylmer (ouest),rental
139.956733,1720099197404,2024-07-04T09:19:57.404-04:00,Prince-Arthur / St-Urbain,rental
140.053367,1720099203202,2024-07-04T09:20:03.202-04:00,Prince-Arthur / St-Urbain,return
140.153417,1720099209205,2024-07-04T09:20:09.205-04:00,de Maisonneuve / Aylmer (ouest),return
