day,interval_start_day,interval_end_day,leader_high_drag_fraction,follower_1_high_drag_fraction,follower_2_high_drag_fraction,plan_identity_sha256
149,149,150,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
150,150,151,0.02445277178706912,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
151,151,152,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
152,152,153,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
153,153,154,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
154,154,155,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
155,155,156,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
156,156,157,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
157,157,158,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
158,158,159,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
159,159,160,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
160,160,161,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
161,161,162,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
162,162,163,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
163,163,164,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
164,164,165,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
165,165,166,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
166,166,167,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
167,167,168,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
168,168,169,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
169,169,170,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
170,170,171,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
171,171,172,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
172,172,173,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
173,173,174,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
174,174,175,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
175,175,176,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
176,176,177,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
177,177,178,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
178,178,179,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
179,179,180,1,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
