split,block_id,workload_phase,requested_power_limit_w,time_s,preceding_interval_mean_power_w,observed_temperature_c,observed_temperature_rise_c,power_only_predicted_temperature_c,power_only_predicted_temperature_rise_c,phase_gain_predicted_temperature_c,phase_gain_predicted_temperature_rise_c
validation,phase_validation_pulse_00,decode,55,36,55.032916621765295,64,10,64.874403182219282,10.874403182219282,63.461190904971183,9.4611909049711826
validation,phase_validation_pulse_00,decode,55,37,55.700150867607334,63,9,65.064910176184341,11.064910176184341,63.613743575860916,9.6137435758609158
validation,phase_validation_pulse_00,decode,55,38,55.36643435292811,63,9,65.2446786843486,11.2446786843486,63.756101387138784,9.7561013871387843
validation,phase_validation_pulse_00,decode,55,39,55.390902600353463,64,10,65.420003581988084,11.420003581988084,63.89438790543268,9.89438790543268
validation,phase_validation_pulse_00,decode,55,40,55.314977604609361,64,10,65.589321765501907,11.589321765501907,64.027104247875599,10.027104247875599
validation,phase_validation_pulse_00,decode,55,41,54.82861965589084,64,10,65.745914550651662,11.745914550651662,64.147775047388919,10.147775047388919
validation,phase_validation_pulse_00,decode,55,42,55.398998513550552,64,10,65.907841615952904,11.907841615952904,64.273900482125654,10.273900482125654
validation,phase_validation_pulse_00,decode,55,43,55.156827633732163,64,10,66.061336617927751,12.061336617927751,64.39214374753152,10.39214374753152
validation,phase_validation_pulse_00,decode,55,44,55.357145941897102,66,12,66.214045512916925,12.214045512916925,64.509921800376162,10.509921800376162
validation,phase_validation_pulse_00,decode,55,45,55.858477794109362,65,11,66.371035988364511,12.371035988364511,64.632126516357133,10.632126516357133
validation,phase_validation_pulse_00,decode,55,46,54.974865582685965,65,11,66.50897398989359,12.50897398989359,64.736178936753234,10.736178936753234
validation,phase_validation_pulse_00,decode,55,47,55.632071627762251,65,11,66.65420560704365,12.65420560704365,64.84761438986223,10.84761438986223
validation,phase_validation_pulse_00,decode,55,48,55.184997531311971,65,11,66.788020762199025,12.788020762199025,64.948308688202061,10.948308688202061
validation,phase_validation_pulse_00,decode,55,49,54.55106270533841,66,12,66.907595002561791,12.907595002561791,65.035571256216244,11.035571256216244
validation,phase_validation_pulse_00,decode,55,50,52.329587562355123,65,11,66.986697882065641,12.986697882065641,65.084100966339562,11.084100966339562
validation,phase_validation_pulse_00,decode,55,51,54.871587972536929,65,11,67.106281338794588,13.106281338794588,65.172295259337275,11.172295259337275
validation,phase_validation_pulse_00,decode,55,52,55.149313979945532,66,12,67.227292045602539,13.227292045602539,65.262221619621712,11.262221619621712
validation,phase_validation_pulse_00,decode,55,53,55.299368359715544,66,12,67.347551063999447,13.347551063999447,65.35175704464082,11.35175704464082
validation,phase_validation_pulse_00,decode,55,54,54.738892128815849,66,12,67.455166714537043,13.455166714537043,65.42940118683687,11.42940118683687
validation,phase_validation_pulse_00,decode,55,55,54.821275942050541,66,12,67.561257857944341,13.561257857944341,65.505943402458541,11.505943402458541
validation,phase_validation_pulse_00,decode,55,56,55.019527124629313,66,12,67.667808161467576,13.667808161467576,65.583295655207507,11.583295655207507
validation,phase_validation_pulse_00,decode,55,57,55.07899890521022,67,13,67.77247860467773,13.77247860467773,65.659183901930405,11.659183901930405
validation,phase_validation_pulse_00,decode,55,58,55.701273846732661,66,12,67.884755283777281,13.884755283777281,65.742773100717415,11.742773100717415
validation,phase_validation_pulse_00,decode,55,59,54.88700026821396,66,12,67.980349233823816,13.980349233823816,65.810545393822125,11.810545393822125
validation,phase_validation_pulse_01,prefill,55,0,,54,0,54,0,54,0
validation,phase_validation_pulse_01,prefill,55,1,38.84436580405103,57,3,54.201534459193837,0.20153445919383728,54.268996020562518,0.26899602056251837
validation,phase_validation_pulse_01,prefill,55,2,54.506707820388499,57,3,54.660205023957992,0.66020502395799241,54.820671719666876,0.82067171966687624
validation,phase_validation_pulse_01,prefill,55,3,55.007617918403199,58,4,55.114889016760102,1.1148890167601024,55.364344269011738,1.3643442690117382
validation,phase_validation_pulse_01,prefill,55,4,55.208008460022043,58,4,55.560655895961638,1.5606558959616379,55.894678969088744,1.8946789690887442
validation,phase_validation_pulse_01,prefill,55,5,54.90193650753023,58,4,55.989255633472737,1.9892556334727374,56.402680605537135,2.4026806055371352
validation,phase_validation_pulse_01,prefill,55,6,54.705264208217692,59,5,56.402985823016607,2.402985823016607,56.891083530186989,2.8910835301869895
validation,phase_validation_pulse_01,prefill,55,7,54.781893128837901,59,5,56.806829815944774,2.8068298159447735,57.365582780113442,3.3655827801134421
validation,phase_validation_pulse_01,prefill,55,8,55.26165617896995,60,6,57.207813047093417,3.207813047093417,57.834107912762846,3.8341079127628461
validation,phase_validation_pulse_01,prefill,55,9,55.103801256714817,60,6,57.595323155959498,3.5953231559594983,58.284994774773338,4.2849947747733381
validation,phase_validation_pulse_01,prefill,55,10,54.90238205792263,60,6,57.968993571200365,3.9689935712003646,58.717987178904316,4.7179871789043162
validation,phase_validation_pulse_01,prefill,55,11,54.919274957229781,60,6,58.332857950525806,4.3328579505258062,59.137704572583282,5.1377045725832815
validation,phase_validation_pulse_01,prefill,55,12,54.990281096208776,61,7,58.688088263748888,4.6880882637488881,59.54556940096878,5.5455694009687804
validation,phase_validation_pulse_01,prefill,55,13,55.543345378564965,61,7,59.042999290980845,5.0429992909808448,59.950913839903869,5.950913839903869
validation,phase_validation_pulse_01,prefill,55,14,55.164335370949345,61,7,59.381973519899773,5.3819735198997734,60.336492174322601,6.3364921743226006
validation,phase_validation_pulse_01,prefill,55,15,54.961277110164232,62,8,59.708391063747747,5.7083910637477473,60.706195223532859,6.706195223532859
validation,phase_validation_pulse_01,prefill,55,16,54.760049324729671,61,7,60.022621645547765,6.0226216455477655,61.060555240173464,7.0605552401734641
validation,phase_validation_pulse_01,prefill,55,17,54.760751371241483,62,8,60.328379651557157,6.3283796515571566,61.403807094575718,7.4038070945757184
validation,phase_validation_pulse_01,prefill,55,18,54.864167270899429,62,8,60.627615832128967,6.6276158321289671,61.73820858552763,7.7382085855276301
validation,phase_validation_pulse_01,prefill,55,19,54.796419849636472,62,8,60.917636742912464,6.9176367429124639,62.06085599533894,8.0608559953389403
validation,phase_validation_pulse_01,prefill,55,20,54.922914072791407,63,9,61.201947641638263,7.2019476416382631,62.375728655697166,8.3757286556971664
validation,phase_validation_pulse_01,prefill,55,21,54.895210629118743,63,9,61.478117592195531,7.478117592195531,62.680204438896055,8.6802044388960553
validation,phase_validation_pulse_01,prefill,55,22,54.958585738095621,63,9,61.747893326204512,7.7478933262045118,62.976302551100353,8.9763025511003534
validation,phase_validation_pulse_01,prefill,55,23,54.948409855125789,63,9,62.010214414854239,8.0102144148542394,63.262918796680964,9.2629187966809639
validation,phase_validation_pulse_01,prefill,55,24,54.993645772130073,64,10,62.266211109750991,8.2662111097509907,63.541380713848099,9.541380713848099
validation,phase_validation_pulse_01,prefill,55,25,54.543832057354024,63,9,62.507754713887081,8.5077547138870813,63.802742544121088,9.802742544121088
validation,phase_validation_pulse_01,prefill,55,26,53.5509991911727,64,10,62.726131803927721,8.7261318039277214,64.037447654641809,10.037447654641809
validation,phase_validation_pulse_01,prefill,55,27,54.451616194094584,64,10,62.953711384129129,8.9537113841291287,64.281526901817401,10.281526901817401
validation,phase_validation_pulse_01,prefill,55,28,54.60858899863419,64,10,63.177777862407183,9.1777778624071829,64.520863694421479,10.520863694421479
validation,phase_validation_pulse_01,prefill,55,29,54.819849150095642,65,11,63.399336215848351,9.3993362158483507,64.756615928637217,10.756615928637217
validation,phase_validation_pulse_01,prefill,55,30,55.126761776800173,65,11,63.620057769054341,9.6200577690543412,64.990674030482069,10.990674030482069
validation,phase_validation_pulse_01,prefill,55,31,55.063511213544849,65,11,63.833759366729218,9.8337593667292182,65.216210806294356,11.216210806294356
validation,phase_validation_pulse_01,prefill,55,32,55.176606065114392,65,11,64.043586963764724,10.043586963764724,65.436771487248905,11.436771487248905
validation,phase_validation_pulse_01,prefill,55,33,55.158833383648457,65,11,64.2474511784242,10.2474511784242,65.650079758804623,11.650079758804623
validation,phase_validation_pulse_01,prefill,55,34,54.976488698214588,66,12,64.442753990957272,10.442753990957272,65.8533042684696,11.8533042684696
validation,phase_validation_pulse_01,prefill,55,35,55.070756257785987,65,11,64.634363939379782,10.634363939379782,66.051902980023527,12.051902980023527
validation,phase_validation_pulse_01,prefill,55,36,54.738108770748099,65,11,64.815223543953095,10.815223543953095,66.238085838940663,12.238085838940663
validation,phase_validation_pulse_01,prefill,55,37,55.012019892578593,66,12,64.99579196306891,10.99579196306891,66.423516836136443,12.423516836136443
validation,phase_validation_pulse_01,prefill,55,38,56.307740601334316,66,12,65.1932075953777,11.1932075953777,66.62721232645049,12.62721232645049
validation,phase_validation_pulse_01,prefill,55,39,55.458340687294722,66,12,65.37105282489533,11.37105282489533,66.808726935767893,12.808726935767893
validation,phase_validation_pulse_01,prefill,55,40,54.785157291352469,67,13,65.532810312434407,11.532810312434407,66.97203218998564,12.97203218998564
validation,phase_validation_pulse_01,prefill,55,41,54.680300896762724,66,12,65.688442379057562,11.688442379057562,67.128263277675075,13.128263277675075
validation,phase_validation_pulse_01,prefill,55,42,54.627276764276544,67,13,65.838983376206329,11.838983376206329,67.278605639730628,13.278605639730628
validation,phase_validation_pulse_01,prefill,55,43,54.551859135280566,67,13,65.984195339946552,11.984195339946552,67.422827851202101,13.422827851202101
validation,phase_validation_pulse_01,prefill,55,44,54.701724511130585,67,13,66.127999003478152,12.127999003478152,67.565309406292869,13.565309406292869
