seed,update,environment_steps,elapsed_seconds,mean_step_reward,mean_episode_return,episodes_completed,minimum_tension,mean_command_speed,approximate_kl,clip_fraction,entropy,gradient_norm,loss,policy_loss,value_loss
3,91,186368,36.78463550005108,-0.0057035342294944405,nan,0,456.9648584669186,0.371843536628625,0.0036458290791785072,0.0318603515625,-4.428791019198979,1.2297751497077982,0.0029309244585547915,-0.0016533388510163822,0.0003109445807443884
3,92,188416,36.8613205421716,-0.005790544821139597,nan,0,435.12436604991194,0.4233695501957412,0.005682494424414946,0.0736083984375,-4.479323985354442,1.2807825623463303,-0.00022895541126659227,-0.0049535915461362415,0.0004906242990304119
3,93,190464,36.95377566711977,-0.0058332670031579804,nan,0,454.46537446321815,0.3953732722514098,0.003077301197288726,0.02392578125,-4.5029957993638465,1.2997455155289859,0.004134495820066643,-0.0005805432642160204,0.0004240865698376356
3,94,192512,37.033730584196746,0.006243464265952787,-6.198985841979757,8,373.1739303673517,0.39012785070687905,0.003434639601065297,0.0242919921875,-4.559350901825132,1.424038904404758,0.01737292542995962,-0.001305227278185361,0.028237603612639696
3,95,194560,37.131985834101215,-0.005807789317920921,nan,0,445.6261191089627,0.4108917260222906,0.003753432915715706,0.03125,-4.431402192074678,1.4249001728729154,0.003999820547433737,-0.0006974427047335436,0.0005317221201852026
3,96,196608,37.21030579204671,-0.0058855911752647,nan,0,450.33362113953785,0.402971266313491,0.004280305019990543,0.04443359375,-4.5367488186361165,1.3237227910019977,0.0029212908797537247,-0.0018373345371100842,0.0004437531964553899
3,97,198656,37.29037216701545,-0.005768717007487373,nan,0,440.2493972090152,0.40684140393495277,0.0039715988382131116,0.0391845703125,-4.472028546110856,1.5434955151587202,0.002497805351732281,-0.002222766867027785,0.0004970873452984273
3,98,200704,37.36636908398941,-0.005931657787158412,nan,0,445.78340098062836,0.40564078585229496,0.004717428560281688,0.0537109375,-4.569502103318554,1.5994831262691416,0.0018885529990808614,-0.002944513801325449,0.0005271293941755157
3,99,202752,45.169602000154555,-0.005677771942369904,nan,0,455.1215551717865,0.39591200600825927,0.0017523456668742873,0.007568359375,-4.618674972819721,0.8826637497440437,0.004392876505011876,-0.00042621051731495975,0.0004008240990142311
3,100,204800,45.28384312498383,-0.0058184311112031385,-6.23742327542589,8,454.29197212719174,0.39701790609383614,0.00261650966187955,0.0186767578125,-4.589645846240806,1.2317319857642843,0.003899728190422203,-0.0008696529269954876,0.0003594705423537628
3,101,206848,45.37676383415237,0.006159699407834604,nan,0,366.3193127638291,0.4042297926926687,0.005216012408844775,0.0618896484375,-4.599095575375954,1.38666526842725,0.015240662348596582,-0.0025813934840142067,0.026445920514469673
3,102,208896,45.48881704220548,-0.0056845572475662815,nan,0,450.8369497012255,0.37116392116716757,0.004729451336862473,0.0535888671875,-4.559499633203886,1.3293221200423906,0.0036409345235819315,-0.0011431143417045906,0.00044909846416526914
3,103,210944,45.57057058415376,-0.005775426001695998,nan,0,450.9570494923531,0.3780003901222774,0.0030436867463133786,0.0277099609375,-4.600660864989077,1.139295146959036,0.003843967151292707,-0.0009300368640704883,0.0003466863007482376
3,104,212992,45.647952834144235,-0.005742632552263948,nan,0,451.2058797559251,0.38950016351335126,0.0015589290165111402,0.006103515625,-4.604410827919541,1.22898510575301,0.005258865083722354,0.0004311903110905729,0.00044652788942447954
3,105,215040,45.74235050007701,-0.005854815642705957,nan,0,445.00333674413923,0.39334657733178263,0.004026442454448655,0.04150390625,-4.691791065417549,1.3589132217197175,0.003384169870873899,-0.0015149845471016414,0.0004147267051159854
3,106,217088,45.809154791990295,-0.005715162534478301,nan,0,450.15992025881724,0.40887521550257366,0.002890081913723983,0.02685546875,-4.805773910679756,1.2102303574389546,0.003554550858736841,-0.0015306903138094011,0.0005589345237329716
3,107,219136,45.87671720911749,0.006147781254846387,-6.169081196844532,8,364.1447617468954,0.40626961290386715,0.004769480173153015,0.0582275390625,-4.914575371560699,1.2085733538727133,0.015533661742441779,-0.0013430099938710242,0.023924192729504207
3,108,221184,45.94096820917912,-0.0058313481674715055,nan,0,447.13074787490206,0.4262963388860205,0.002696281466308668,0.0242919921875,-4.915415438203002,1.2862923706175815,0.004652414203977785,-0.0006434447007409843,0.0007608869330315341
3,109,223232,46.0063998750411,-0.005818836357969097,nan,0,446.1993141190158,0.4142389494108125,0.0028857731552009575,0.0267333984375,-4.882611548745596,1.2872542753977805,0.004933872819554981,-0.00021257266317972062,0.0005276678679782099
3,110,225280,46.06956116715446,-0.005848380255345143,nan,0,453.0299313288673,0.39334306822771237,0.0033067549248906795,0.033203125,-4.8812519473166045,1.4020130829841564,0.005001842702806628,-6.364895145193408e-05,0.00036847941388391456
