split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,6,128,32,0.952630202000023,0.10155877964516255,4.100952371000062,580.629304364,584.730256735
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,7,128,32,0.9535773839999138,0.10155120432258143,4.101664717999938,580.628521052,584.7301857699999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,0,128,32,0.9567349190000414,0.10132042574193453,4.097668117000012,584.733616573,588.83128469
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,1,128,32,0.957483414999956,0.10131620035484033,4.098285626000006,584.732949265,588.831234891
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,2,128,32,0.9580235570000468,0.1012997648387073,4.098316266999973,584.7327069419999,588.8310232089999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,3,128,32,0.17877192399998876,0.12318075209677479,3.9973752390000072,584.733847255,588.731222494
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,4,128,32,0.9572077860000263,0.10130235577419318,4.097580815000015,584.7333692899999,588.8309501049999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,5,128,32,0.957075543999963,0.10127568677419349,4.096621833999961,584.733172559,588.8297943929999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,6,128,32,0.9563728900000115,0.10128460441935218,4.096195626999929,584.734286324,588.8304819509999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,16,7,128,32,0.9576986570000372,0.10130875432257873,4.098270040999978,584.732420256,588.8306902969999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,0,128,32,0.9638989479999509,0.1014612171935486,4.109196680999958,588.833365715,592.942562396
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,1,128,32,0.9632407789999888,0.10147284541935439,4.108898986999975,588.834182806,592.9430817929999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,2,128,32,0.9599998699999333,0.1014617067741945,4.105312779999963,588.837682899,592.942995679
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,3,128,32,0.18336460000000443,0.12334721390322645,4.007128231000024,588.8336179959999,592.840746227
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,4,128,32,0.9601433750000297,0.10145520829032208,4.105254832000014,588.837389961,592.942644793
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,5,128,32,0.9639807419999897,0.101438637129032,4.108578492999982,588.833874017,592.94245251
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,6,128,32,0.9607739059999858,0.10144416125806474,4.105542904999993,588.837164909,592.942707814
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,17,7,128,32,0.9646990480000568,0.10145589580645265,4.109831818000089,588.8330823929999,592.942914211
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,0,128,32,0.1724180300000171,0.12341356645161326,3.998238590000028,592.945076988,596.943315578
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,1,128,32,0.9599245379999957,0.10125108225806358,4.098708087999967,592.946693804,597.045401892
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,2,128,32,0.9599040680000144,0.10127218138709468,4.09934169099995,592.946166998,597.0455086889999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,3,128,32,0.960942720999924,0.1012373119354841,4.099299390999931,592.945316015,597.0446154059999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,4,128,32,0.9601057109999829,0.10125988809677584,4.099162242000034,592.9464115449999,597.045573787
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,5,128,32,0.9606298899999501,0.1012565565161279,4.099583141999915,592.945535822,597.0451189639999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,6,128,32,0.9606239800000367,0.10126444399999869,4.099821743999996,592.9458138709999,597.0456356149999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,18,7,128,32,0.9615604290000874,0.10125350990322644,4.100419236000107,592.9447825919999,597.045201828
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,19,0,128,32,0.9595926829999826,0.10139935690322531,4.102972746999967,597.048559553,601.1515323
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,19,1,128,32,0.9606209190000072,0.10141852641935466,4.104595238000002,597.047628886,601.152224124
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,19,2,128,32,0.9601661799999874,0.10140765816128894,4.103803582999944,597.047869127,601.15167271
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,19,3,128,32,0.9600102829999742,0.10138621967741764,4.102983092999921,597.048318557,601.1513016499999
