phase,prompt_tokens,output_tokens,concurrency,requested_clock_mhz,realized_clock_mhz,repeat,ttft_s,tpot_s,total_s,energy_j,mean_power_w,peak_power_w,peak_temp_c,telemetry_sample_count,telemetry_fallback_used,request_index,completion_tokens,prompt_tokens_observed
prefill,2048,1,8,210,210.0,2,19.653925662000006,0.0,19.65409729700002,84.75185473438766,34.49142857142855,34.97,66.0,196,False,1,1,2048
prefill,2048,1,8,210,210.0,2,12.291192085000034,0.0,12.29135029400004,84.75185473438766,34.49142857142855,34.97,66.0,196,False,2,1,2048
prefill,2048,1,8,210,210.0,2,2.476235588999998,0.0,2.4763707890000433,84.75185473438766,34.49142857142855,34.97,66.0,196,False,3,1,2048
prefill,2048,1,8,210,210.0,2,7.3850783059999685,0.0,7.38521170599995,84.75185473438766,34.49142857142855,34.97,66.0,196,False,4,1,2048
prefill,2048,1,8,210,210.0,2,17.199095575,0.0,17.19923964999998,84.75185473438766,34.49142857142855,34.97,66.0,196,False,5,1,2048
prefill,2048,1,8,210,210.0,2,9.838005994000014,0.0,9.838159532000077,84.75185473438766,34.49142857142855,34.97,66.0,196,False,6,1,2048
prefill,2048,1,8,210,210.0,2,14.748777560999997,0.0,14.748946894000028,84.75185473438766,34.49142857142855,34.97,66.0,196,False,7,1,2048
prefill,2048,1,8,210,210.0,3,9.838149815999941,0.0,9.838314542000035,85.20009398599342,34.6772081218274,35.48,67.0,197,False,0,1,2048
prefill,2048,1,8,210,210.0,3,4.929391078000094,0.0,4.929524861999994,85.20009398599342,34.6772081218274,35.48,67.0,197,False,1,1,2048
prefill,2048,1,8,210,210.0,3,19.653731060999917,0.0,19.653869628999928,85.20009398599342,34.6772081218274,35.48,67.0,197,False,2,1,2048
prefill,2048,1,8,210,210.0,3,2.4739042170000403,0.0,2.4740352350000876,85.20009398599342,34.6772081218274,35.48,67.0,197,False,3,1,2048
prefill,2048,1,8,210,210.0,3,14.744945379,0.0,14.745105736000028,85.20009398599342,34.6772081218274,35.48,67.0,197,False,4,1,2048
prefill,2048,1,8,210,210.0,3,17.19759987000009,0.0,17.197735656000077,85.20009398599342,34.6772081218274,35.48,67.0,197,False,5,1,2048
