split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,0,128,128,1.0187388290000854,0.10150716898425258,13.910149290000163,1091.485369799,1105.3955190890001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,1,128,128,1.019434677999925,0.10149883340157459,13.909786519999898,1091.484534271,1105.394320791
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,2,128,128,1.0195916719999332,0.10150355031496151,13.910542562000046,1091.485073136,1105.395615698
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,3,128,128,0.1859261179999976,0.10726552003149563,13.808647161999943,1091.484819597,1105.293466759
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,4,128,128,1.018997810999963,0.10149769081889766,13.909204544999966,1091.485588644,1105.394793189
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,5,128,128,1.0185252589999436,0.10150720310236186,13.9099400529999,1091.485900631,1105.395840684
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,6,128,128,1.0179931269999543,0.10150552285826747,13.909194529999922,1091.486227527,1105.395422057
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,13,7,128,128,1.0202963490000911,0.10150263969291241,13.911131589999968,1091.484212133,1105.395343723
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,0,128,128,1.0195134420000613,0.10152880842519704,13.913672112000086,1105.398624923,1119.312297035
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,1,128,128,1.0201586429998315,0.10152823372440911,13.914244325999789,1105.397820712,1119.312065038
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,2,128,128,1.018028829000059,0.10153353824409536,13.91278818600017,1105.399625355,1119.312413541
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,3,128,128,0.1886361910001142,0.10727524933070806,13.812592856000038,1105.398326559,1119.210919415
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,4,128,128,1.019795914000042,0.10152865115748044,13.913934611000059,1105.398057342,1119.311991953
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,5,128,128,1.0187210639999194,0.10153692988189046,13.913911159000008,1105.398832607,1119.312743766
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,6,128,128,1.0186709080001037,0.10153367864566777,13.913448095999911,1105.39905645,1119.312504546
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,14,7,128,128,1.0198539109999274,0.1015315853149611,13.914365245999988,1105.39753704,1119.311902286
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,0,128,128,0.17555503600010525,0.10727192185826726,13.799089112000047,1119.314956775,1133.114045887
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,1,128,128,1.0098469759998352,0.10149526715748097,13.899745904999918,1119.315194057,1133.214939962
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,2,128,128,1.009368178999921,0.10150214711811033,13.900140862999933,1119.31590826,1133.216049123
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,3,128,128,1.0032077010000648,0.10149913578740107,13.893597946,1119.322391039,1133.215988985
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,4,128,128,1.0095175980000022,0.10150007952755749,13.900027697999803,1119.316164729,1133.216192427
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,5,128,128,1.0097703430001275,0.10150192448818918,13.900514753000152,1119.315627537,1133.21614229
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,6,128,128,1.010909705999893,0.10149104361417405,13.900272244999996,1119.315411345,1133.21568359
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,15,7,128,128,1.010853705999807,0.10149916039370145,13.90124707599989,1119.314647477,1133.215894553
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,0,128,128,1.0267698770001061,0.10151218029921252,13.918816775000096,1133.21989919,1147.138715965
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,1,128,128,1.028200950999917,0.10151860686614317,13.921064023000099,1133.218205357,1147.13926938
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,2,128,128,1.027862007000067,0.1015162870551176,13.920430463000002,1133.218727099,1147.139157562
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,3,128,128,1.027643510999951,0.10151823759055133,13.920459684999969,1133.218460533,1147.138920218
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,4,128,128,1.0269852369999626,0.1015078985905523,13.918488358000104,1133.219298665,1147.137787023
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,5,128,128,1.0265777160000198,0.10151805258267699,13.919370393999998,1133.219622965,1147.138993359
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,6,128,128,1.027452440000161,0.10151629718897612,13.920022183000128,1133.21903527,1147.139057453
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,16,7,128,128,0.17423363400007474,0.1074517156299214,13.820601519000093,1133.217927469,1147.038528988
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,0,128,128,1.048129592999885,0.10154662455118084,13.944550910999851,1147.142103565,1161.086654476
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,1,128,128,1.0472704519997933,0.10153959389763831,13.94279887699986,1147.1433181520001,1161.086117029
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,2,128,128,0.1896154139999453,0.10751210850393664,13.843653193999899,1147.141462754,1160.985115948
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,3,128,128,1.047562126999992,0.1015424572834655,13.943454202000112,1147.142803705,1161.0862579070001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,4,128,128,1.0467100280000068,0.10153832189763758,13.94207690899998,1147.143948329,1161.086025238
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,5,128,128,1.0480654870000308,0.10154272260629794,13.943991257999869,1147.142413188,1161.086404446
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,6,128,128,1.0489905679999083,0.10153864593700931,13.944398602000092,1147.141776681,1161.086175283
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,17,7,128,128,1.0498097810000218,0.10153918345669243,13.94528607999996,1147.141061586,1161.086347666
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,18,0,128,128,1.0484472590001133,0.10150803306299089,13.939967457999956,1161.089144586,1175.029112044
