time_seconds,angle_radians,angle_degrees,normalized_energy,axial_force_newtons,target_action_squat,target_action_lean,realized_command_squat,realized_command_lean,seat_radius_fraction,taut,cumulative_slack_time_seconds,cumulative_snap_energy_loss_joules
1.909999999999968168e+01,1.212421838796013951e+00,6.946665435250226039e+01,4.466472654464282988e-01,2.423867354000573471e+02,1.136822998523712158e-01,-6.020075678825378418e-01,-6.687653057032763027e-01,-1.553165357352824238e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.911999999999968125e+01,1.233945030533767806e+00,7.069984240072639636e+01,4.460353551167963726e-01,2.164407404683852292e+02,2.040546238422393799e-01,-6.379225254058837891e-01,-6.581286614674298763e-01,-1.833518005992147426e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.913999999999968082e+01,1.253183771961482229e+00,7.180214108767792425e+01,4.454675826171569097e-01,1.947160976897750118e+02,2.918805181980133057e-01,-6.721767187118530273e-01,-6.468245334026031523e-01,-2.112127377929174654e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.915999999999968040e+01,1.270169588222094692e+00,7.277535667099570560e+01,4.449378476613099487e-01,1.770746001830116825e+02,3.762284219264984131e-01,-7.046357989311218262e-01,-6.349500597308002092e-01,-2.388072107229237406e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.917999999999967997e+01,1.284940644451489700e+00,7.362167585189045838e+01,4.444364123699929281e-01,1.632847707668983048e+02,4.563002586364746094e-01,-7.352023124694824219e-01,-6.226115415045410106e-01,-2.660397292717006645e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.919999999999967955e+01,1.297539865506003753e+00,7.434355804346648711e+01,4.439514921218450927e-01,1.530461649331010392e+02,5.314534306526184082e-01,-7.638169527053833008e-01,-6.099220412602638364e-01,-2.928139194423758918e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.921999999999967912e+01,1.308013098871352309e+00,7.494363011315654433e+01,4.434707896969841689e-01,1.460172189593366170e+02,6.012100577354431152e-01,-7.904577255249023438e-01,-5.969986288035250555e-01,-3.190350750360727572e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.923999999999967869e+01,1.316407408159232961e+00,7.542458860727957415e+01,4.429828014732591912e-01,1.418442408667397103e+02,6.652527451515197754e-01,-8.151364922523498535e-01,-5.839594691424662143e-01,-3.446126291101361261e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925999999999967827e+01,1.322769568176112909e+00,7.578911352483368091e+01,4.424777861039470572e-01,1.401874843060341220e+02,7.234104275703430176e-01,-8.378939032554626465e-01,-5.709209550638784103e-01,-3.694623911991398169e-01,9.999999999999997780e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.927999999999967784e+01,1.327144810130742147e+00,7.603979642318250853e+01,4.419483466481502476e-01,1.407428531826846267e+02,7.756357192993164062e-01,-8.587931990623474121e-01,-5.579950713006857077e-01,-3.935084235868488989e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
