scenario,seed,controller,attempted_rentals,served_rentals,attempted_returns,accepted_returns,lost_rentals,rejected_returns,service_failures,bikes_moved,truck_distance_km,unrealized_transfer_bikes,terminal_imbalance,terminal_truck_inventory,objective
nominal,38,feedback,50,50,89,70,0,19,19,4,1.7067478119448685,0,39.5,0,23.491349562388972
nominal,39,none,80,75,77,70,5,7,12,0,0.0,0,38.5,0,15.85
nominal,39,open_loop,80,75,77,73,5,4,9,6,0.8533739059724342,0,41.5,0,13.620674781194488
nominal,39,feedback,80,80,77,77,0,0,0,36,9.559703306841481,0,26.5,8,6.361940661368297
nominal,40,none,57,57,84,80,0,4,4,0,0.0,0,29.5,0,6.95
nominal,40,open_loop,57,57,84,83,0,1,1,6,0.8533739059724342,0,32.5,0,4.720674781194487
nominal,40,feedback,57,57,84,82,0,2,2,4,3.362941040682926,0,31.5,0,6.022588208136586
nominal,41,none,79,79,77,68,0,9,9,0,0.0,0,39.5,0,12.95
nominal,41,open_loop,79,79,77,71,0,6,6,6,0.8533739059724342,0,36.5,0,10.120674781194488
nominal,41,feedback,79,79,77,77,0,0,0,34,8.125268920827704,0,14.5,0,4.775053784165541
nominal,42,none,61,58,69,59,3,10,13,0,0.0,0,27.5,0,15.75
nominal,42,open_loop,61,61,69,62,0,7,7,6,0.8533739059724342,0,27.5,0,10.220674781194486
nominal,42,feedback,61,61,69,69,0,0,0,24,5.120243435834605,0,16.5,0,3.8740486871669217
nominal,43,none,65,65,82,76,0,6,6,0,0.0,0,20.5,0,8.05
nominal,43,open_loop,65,65,82,76,0,6,6,6,0.8533739059724342,0,20.5,0,8.520674781194487
nominal,43,feedback,65,65,82,79,0,3,3,6,0.8533739059724342,0,20.5,0,5.5206747811944865
nominal,44,none,60,60,72,69,0,3,3,0,0.0,0,22.5,0,5.25
nominal,44,open_loop,60,60,72,72,0,0,0,6,0.8533739059724342,0,25.5,0,3.0206747811944874
nominal,44,feedback,60,60,72,72,0,0,0,14,3.994556103931079,0,18.5,0,3.348911220786216
nominal,45,none,58,57,82,68,1,14,15,0,0.0,0,34.5,0,18.45
nominal,45,open_loop,58,58,82,71,0,11,11,6,0.8533739059724342,0,32.5,0,14.720674781194488
nominal,45,feedback,58,58,82,79,0,3,3,26,5.812183337238088,0,27.5,0,8.212436667447617
nominal,46,none,61,61,62,53,0,9,9,0,0.0,0,38.5,0,12.85
nominal,46,open_loop,61,61,62,56,0,6,6,6,0.8533739059724342,0,35.5,0,10.020674781194487
nominal,46,feedback,61,61,62,62,0,0,0,36,6.529400530244976,0,11.5,0,4.255880106048996
nominal,47,none,69,69,77,69,0,8,8,0,0.0,0,30.5,0,11.05
nominal,47,open_loop,69,69,77,72,0,5,5,6,0.8533739059724342,0,27.5,0,8.220674781194486
nominal,47,feedback,69,69,77,77,0,0,0,32,7.135738301889724,0,19.5,0,4.977147660377945
nominal,48,none,68,68,75,69,0,6,6,0,0.0,0,29.5,0,8.95
nominal,48,open_loop,68,68,75,72,0,3,3,6,0.8533739059724342,0,26.5,0,6.120674781194487
nominal,48,feedback,68,68,75,72,0,3,3,24,2.5601217179173026,0,11.5,0,5.862024343583461
nominal,49,none,62,62,76,70,0,6,6,0,0.0,0,22.5,0,8.25
nominal,49,open_loop,62,62,76,73,0,3,3,6,0.8533739059724342,0,20.5,0,5.5206747811944865
nominal,49,feedback,62,62,76,76,0,0,0,14,2.5601217179173026,0,23.5,0,3.5620243435834604
nominal,50,none,63,62,57,57,1,0,1,0,0.0,0,29.5,0,3.95
nominal,50,open_loop,63,63,57,57,0,0,0,6,0.8533739059724342,0,24.5,0,2.920674781194487
nominal,50,feedback,63,63,57,57,0,0,0,26,5.812183337238088,0,7.5,2,3.2124366674476175
nominal,51,none,55,55,65,63,0,2,2,0,0.0,0,25.5,0,4.550000000000001
nominal,51,open_loop,55,55,65,65,0,0,0,6,0.8533739059724342,0,27.5,0,3.2206747811944867
nominal,51,feedback,55,55,65,65,0,0,0,10,4.711773296937967,0,21.5,4,3.5923546593875932
nominal,52,none,59,59,67,67,0,0,0,0,0.0,0,27.5,0,2.75
nominal,52,open_loop,59,59,67,67,0,0,0,6,0.8533739059724342,0,21.5,0,2.620674781194487
nominal,52,feedback,59,59,67,67,0,0,0,12,2.5601217179173026,0,15.5,0,2.662024343583461
nominal,53,none,66,63,86,77,3,9,12,0,0.0,0,43.5,0,16.35
nominal,53,open_loop,66,66,86,78,0,8,8,6,0.8533739059724342,0,41.5,0,12.620674781194488
nominal,53,feedback,66,66,86,81,0,5,5,26,5.923062758600229,0,24.5,0,9.934612551720047
nominal,54,none,64,64,78,73,0,5,5,0,0.0,0,24.5,0,7.45
nominal,54,open_loop,64,64,78,73,0,5,5,6,0.8533739059724342,0,24.5,0,7.920674781194487
nominal,54,feedback,64,64,78,78,0,0,0,22,7.852955494896612,0,20.5,0,4.720591098979323
nominal,55,none,75,73,69,62,2,7,9,0,0.0,0,41.5,0,13.15
nominal,55,open_loop,75,73,69,65,2,4,6,6,0.8533739059724342,0,38.5,0,10.320674781194487
nominal,55,feedback,75,75,69,69,0,0,0,46,10.38779992121051,0,7.5,2,5.127559984242103
nominal,56,none,54,54,82,74,0,8,8,0,0.0,0,26.5,0,10.65
nominal,56,open_loop,54,54,82,77,0,5,5,6,0.8533739059724342,0,29.5,0,8.420674781194487
nominal,56,feedback,54,54,82,82,0,0,0,20,4.1054355252932195,0,34.5,0,5.271087105058644
nominal,57,none,58,58,78,72,0,6,6,0,0.0,0,27.5,0,8.75
nominal,57,open_loop,58,58,78,75,0,3,3,6,0.8533739059724342,0,24.5,0,5.920674781194487
nominal,57,feedback,58,58,78,77,0,1,1,10,4.847930009903513,0,26.5,0,5.119586001980704
nominal,58,none,61,61,90,78,0,12,12,0,0.0,0,23.5,0,14.35
nominal,58,open_loop,61,61,90,81,0,9,9,6,0.8533739059724342,0,26.5,0,12.120674781194488
nominal,58,feedback,61,61,90,82,0,8,8,8,1.7067478119448685,0,27.5,0,11.491349562388974
nominal,59,none,57,57,60,59,0,1,1,0,0.0,0,26.5,0,3.6500000000000004
nominal,59,open_loop,57,57,60,59,0,1,1,6,0.8533739059724342,0,22.5,0,3.7206747811944867
nominal,59,feedback,57,57,60,60,0,0,0,12,3.2773389109241906,0,19.5,4,3.2054677821848383
nominal,60,none,52,52,83,73,0,10,10,0,0.0,0,32.5,0,13.25
nominal,60,open_loop,52,52,83,74,0,9,9,5,0.8533739059724342,1,33.5,1,12.770674781194487
nominal,60,feedback,52,52,83,74,0,9,9,6,1.5705910989793224,0,28.5,0,12.464118219795864
nominal,61,none,73,73,89,74,0,15,15,0,0.0,0,29.5,0,17.95
nominal,61,open_loop,73,73,89,77,0,12,12,6,0.8533739059724342,0,26.5,0,15.120674781194488
nominal,61,feedback,73,73,89,80,0,9,9,16,2.5601217179173026,0,25.5,6,12.862024343583462
nominal,62,none,69,69,87,69,0,18,18,0,0.0,0,30.5,0,21.05
nominal,62,open_loop,69,69,87,72,0,15,15,6,0.8533739059724342,0,27.5,0,18.22067478119449
nominal,62,feedback,69,69,87,79,0,8,8,26,3.3882183322863315,0,21.5,0,12.127643666457267
nominal,63,none,45,45,72,69,0,3,3,0,0.0,0,30.5,0,6.050000000000001
nominal,63,open_loop,45,45,72,72,0,0,0,6,0.8533739059724342,0,33.5,0,3.8206747811944872
nominal,63,feedback,45,45,72,72,0,0,0,14,1.681470520341463,0,33.5,0,4.386294104068293
nominal,64,none,69,69,83,71,0,12,12,0,0.0,0,28.5,0,14.85
nominal,64,open_loop,69,69,83,74,0,9,9,6,0.8533739059724342,0,25.5,0,12.020674781194488
nominal,64,feedback,69,69,83,83,0,0,0,32,6.529400530244976,0,20.5,0,4.955880106048996
nominal,65,none,61,61,78,73,0,5,5,0,0.0,0,19.5,0,6.95
nominal,65,open_loop,61,61,78,73,0,5,5,6,0.8533739059724342,0,19.5,0,7.420674781194487
nominal,65,feedback,61,61,78,73,0,5,5,0,0.0,0,19.5,0,6.95
nominal,66,none,65,65,70,70,0,0,0,0,0.0,0,22.5,0,2.25
nominal,66,open_loop,65,65,70,70,0,0,0,6,0.8533739059724342,0,22.5,0,2.7206747811944867
nominal,66,feedback,65,65,70,70,0,0,0,22,4.9335321396622485,0,11.5,0,3.2367064279324502
nominal,67,none,75,66,69,66,9,3,12,0,0.0,0,30.5,0,15.05
nominal,67,open_loop,75,69,69,69,6,0,6,6,0.8533739059724342,0,30.5,0,9.520674781194487
nominal,67,feedback,75,75,69,69,0,0,0,36,5.9736173418070395,0,6.5,0,3.644723468361408
